week_start_date,labor_hours,restaurant
2018-01-01,1150,Washington Cafe
2018-01-08,1186,Washington Cafe
2018-01-15,1117,Washington Cafe
2018-01-22,1043,Washington Cafe
2018-01-29,1095,Washington Cafe
2018-02-05,1031,Washington Cafe
2018-02-12,1157,Washington Cafe
2018-02-19,1300,Washington Cafe
2018-02-26,1091,Washington Cafe
2018-03-05,1076,Washington Cafe
2018-03-12,1209,Washington Cafe
2018-03-19,1193,Washington Cafe
2018-03-26,1163,Washington Cafe
2018-04-02,1038,Washington Cafe
2018-04-09,1146,Washington Cafe
2018-04-16,1233,Washington Cafe
2018-04-23,1000,Washington Cafe
2018-04-30,1095,Washington Cafe
2018-05-07,1000,Washington Cafe
2018-05-14,1000,Washington Cafe
2018-05-21,1000,Washington Cafe
2018-05-28,1122,Washington Cafe
2018-06-04,1000,Washington Cafe
2018-06-11,1183,Washington Cafe
2018-06-18,1169,Washington Cafe
2018-06-25,1128,Washington Cafe
2018-07-02,1000,Washington Cafe
2018-07-09,1085,Washington Cafe
2018-07-16,1144,Washington Cafe
2018-07-23,1164,Washington Cafe
2018-07-30,1000,Washington Cafe
2018-08-06,1093,Washington Cafe
2018-08-13,1033,Washington Cafe
2018-08-20,1053,Washington Cafe
2018-08-27,1277,Washington Cafe
2018-09-03,1053,Washington Cafe
2018-09-10,1146,Washington Cafe
2018-09-17,1256,Washington Cafe
2018-09-24,1080,Washington Cafe
2018-10-01,1137,Washington Cafe
2018-10-08,1163,Washington Cafe
2018-10-15,1158,Washington Cafe
2018-10-22,1003,Washington Cafe
2018-10-29,1159,Washington Cafe
2018-11-05,1300,Washington Cafe
2018-11-12,1000,Washington Cafe
2018-11-19,1253,Washington Cafe
2018-11-26,1164,Washington Cafe
2018-12-03,1073,Washington Cafe
2018-12-10,1300,Washington Cafe
2018-12-17,1241,Washington Cafe
2018-12-24,1006,Washington Cafe
2018-12-31,1159,Washington Cafe
2019-01-07,1219,Washington Cafe
2019-01-14,1127,Washington Cafe
2019-01-21,1232,Washington Cafe
2019-01-28,1142,Washington Cafe
2019-02-04,1230,Washington Cafe
2019-02-11,1300,Washington Cafe
2019-02-18,1069,Washington Cafe
2019-02-25,1174,Washington Cafe
2019-03-04,1094,Washington Cafe
2019-03-11,1165,Washington Cafe
2019-03-18,1008,Washington Cafe
2019-03-25,1080,Washington Cafe
2019-04-01,1126,Washington Cafe
2019-04-08,1258,Washington Cafe
2019-04-15,1287,Washington Cafe
2019-04-22,1000,Washington Cafe
2019-04-29,1055,Washington Cafe
2019-05-06,1228,Washington Cafe
2019-05-13,1000,Washington Cafe
2019-05-20,1094,Washington Cafe
2019-05-27,1138,Washington Cafe
2019-06-03,1300,Washington Cafe
2019-06-10,1233,Washington Cafe
2019-06-17,1111,Washington Cafe
2019-06-24,1106,Washington Cafe
2019-07-01,1120,Washington Cafe
2019-07-08,1300,Washington Cafe
2019-07-15,1099,Washington Cafe
2019-07-22,1114,Washington Cafe
2019-07-29,1192,Washington Cafe
2019-08-05,1136,Washington Cafe
2019-08-12,1126,Washington Cafe
2019-08-19,1016,Washington Cafe
2019-08-26,1149,Washington Cafe
2019-09-02,1097,Washington Cafe
2019-09-09,1290,Washington Cafe
2019-09-16,1228,Washington Cafe
2019-09-23,1147,Washington Cafe
2019-09-30,1230,Washington Cafe
2019-10-07,1109,Washington Cafe
2019-10-14,1276,Washington Cafe
2019-10-21,1149,Washington Cafe
2019-10-28,1220,Washington Cafe
2019-11-04,1000,Washington Cafe
2019-11-11,1192,Washington Cafe
2019-11-18,1000,Washington Cafe
2019-11-25,1000,Washington Cafe
2019-12-02,1113,Washington Cafe
2019-12-09,1042,Washington Cafe
2019-12-16,1170,Washington Cafe
2019-12-23,1300,Washington Cafe
2019-12-30,1050,Washington Cafe
2020-01-06,1075,Washington Cafe
2020-01-13,1175,Washington Cafe
2020-01-20,1209,Washington Cafe
2020-01-27,1129,Washington Cafe
2020-02-03,1125,Washington Cafe
2020-02-10,1234,Washington Cafe
2020-02-17,1212,Washington Cafe
2020-02-24,1026,Washington Cafe
2020-03-02,1140,Washington Cafe
2020-03-09,1154,Washington Cafe
2020-03-16,1023,Washington Cafe
2020-03-23,1181,Washington Cafe
2020-03-30,1047,Washington Cafe
2020-04-06,1267,Washington Cafe
2020-04-13,1173,Washington Cafe
2020-04-20,1161,Washington Cafe
2020-04-27,1079,Washington Cafe
2020-05-04,1136,Washington Cafe
2020-05-11,1000,Washington Cafe
2020-05-18,1014,Washington Cafe
2020-05-25,1194,Washington Cafe
2020-06-01,1000,Washington Cafe
2020-06-08,1252,Washington Cafe
2020-06-15,1000,Washington Cafe
2020-06-22,1241,Washington Cafe
2020-06-29,1049,Washington Cafe
2020-07-06,1243,Washington Cafe
2020-07-13,1166,Washington Cafe
2020-07-20,1000,Washington Cafe
2020-07-27,1300,Washington Cafe
2020-08-03,1300,Washington Cafe
2020-08-10,1142,Washington Cafe
2020-08-17,1117,Washington Cafe
2020-08-24,1131,Washington Cafe
2020-08-31,1033,Washington Cafe
2020-09-07,1282,Washington Cafe
2020-09-14,1085,Washington Cafe
2020-09-21,1144,Washington Cafe
2020-09-28,1055,Washington Cafe
2020-10-05,1075,Washington Cafe
2020-10-12,1000,Washington Cafe
2020-10-19,1300,Washington Cafe
2020-10-26,1132,Washington Cafe
2020-11-02,1266,Washington Cafe
2020-11-09,1152,Washington Cafe
2020-11-16,1067,Washington Cafe
2020-11-23,1111,Washington Cafe
2020-11-30,1083,Washington Cafe
2020-12-07,1151,Washington Cafe
2020-12-14,1105,Washington Cafe
2020-12-21,1114,Washington Cafe
2020-12-28,1000,Washington Cafe
